"symbol","class","timeframe","dataset_file","strategy","family","params","status","approval_pf","approval_trades","approval_winrate","approval_maxdd","approval_payoff"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=30;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=30;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=30;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=35;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=35;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=35;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=7;low=35;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=20;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=20;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=20;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=20;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=25;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=25;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=25;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=25;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=30;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=30;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=30;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=30;high=80","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=35;high=65","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=35;high=70","READY_BACKTEST","1,8","100","45","15","1,2"
"EURUSD","FOREX","M5","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\EURUSD\mind_dataset_EURUSD_M5.csv","RSI_MEAN_REVERSION","MEAN_REVERSION","period=9;low=35;high=75","READY_BACKTEST","1,8","100","45","15","1,2"
